12432,12432,0.21
20022,20022,0.60
2862,2862,0.01
2408,2408,0.01
7536,7536,0.03
2166,2166,0.00
10837,10837,0.18
1962,1962,0.01
354024,177606,15.02
1030224,516126,168.22
2122528,2039229,3.09
2564140,2476573,4.71
3498339,3377285,8.81
1442552,1442485,18.82
10858208,10852981,134.17
208202,206383,1.00
787856,782372,8.60
984728,980616,11.73
11547066,11054017,74.08
189510,183314,0.35
328802,318959,0.73
1584218,1569217,4.02
3394591,3369586,12.89
4494661,4461898,20.51
277066,265990,1.55
417891,400129,4.18
123098,117879,0.45
163953,157288,0.71
0,0,0.16
0,0,0.20
213614,213510,0.59
281045,280916,0.86
440955,440799,1.62
0,0,0.09
0,0,0.22
450768,435528,2.04
34542874,33615611,127.53
31706833,30631652,126.99
822675,762859,23.06
252874,232606,5.94
KILLED
447545,447480,52.31
772837,772760,149.27
KILLED
1046109,1020400,0.41
30871,30871,25.18
1281,1281,0.20
1965,1965,0.71
779,779,0.04
1552,1552,0.30
1709,1709,0.45
1637318,1575557,8.87
290007,276754,0.76
556714,537692,1.72
1330865,1288663,6.25
685710,667577,2.17
754005,252004,0.02
1272705,425104,0.02
1613333,538756,0.02
1285471,1255276,4.29
372797,362828,0.59
569485,555082,0.93
372933,362688,0.87
570538,552379,1.68
75589,73295,0.09
106131,104128,0.38
475943,465501,2.80
585293,570749,3.37
756600,720304,0.96
880715,837634,1.32
594190,564224,0.60
874536,831930,1.33
2924449,2849164,8.50
3191934,3105127,9.89
5644813,5480321,23.03
121712,117842,0.22
209604,203728,0.46
1108395,1070826,5.05
140664,136236,0.26
165793,160602,0.35
767407,744151,3.13
1547810,1500552,7.04
1728116,1671242,7.84
1783550,1729051,6.79
491764,471870,0.88
1167583,1121506,3.00
1065633,1023543,3.25
233944,224722,1.05
382826,367106,3.38
81464,78526,0.07
166260,159967,0.91
61685,59287,0.15
138044,131928,0.76
3777338,3608071,15.80
2288245,2192993,10.85
464560,454495,2.80
2023838,1954256,3.76
4660615,4500656,13.43
KILLED
KILLED
